selected_value,w_efficiency,w_fairness,w_exploration,reversibility_loss_total,energy
exploration,0.46999999999999953,0.9149999999999999,0.905000000000002,0.1,92.0
efficiency,0.47499999999999953,0.9149999999999999,0.905000000000002,0.1,91.0
exploration,0.47499999999999953,0.9149999999999999,0.890000000000002,0.1,99.0
fairness,0.47499999999999953,0.9099999999999999,0.890000000000002,0.1,98.0
exploration,0.47499999999999953,0.9099999999999999,0.885000000000002,0.1,97.0
efficiency,0.4599999999999995,0.9099999999999999,0.885000000000002,0.1,96.0
efficiency,0.4549999999999995,0.9099999999999999,0.885000000000002,0.1,95.0
fairness,0.4549999999999995,0.9149999999999999,0.885000000000002,0.1,94.0
fairness,0.4549999999999995,0.9099999999999999,0.885000000000002,0.1,93.0
exploration,0.4549999999999995,0.9099999999999999,0.880000000000002,0.1,92.0
exploration,0.4549999999999995,0.9099999999999999,0.855000000000002,0.1,91.0
exploration,0.4549999999999995,0.9099999999999999,0.850000000000002,0.1,90.0
exploration,0.4549999999999995,0.9099999999999999,0.845000000000002,0.1,89.0
fairness,0.4549999999999995,0.9249999999999999,0.845000000000002,0.1,88.0
fairness,0.4549999999999995,0.9099999999999999,0.845000000000002,0.1,87.0
fairness,0.4549999999999995,0.9049999999999999,0.845000000000002,0.1,86.0
fairness,0.4549999999999995,0.9099999999999999,0.845000000000002,0.1,85.0
exploration,0.4549999999999995,0.9099999999999999,0.840000000000002,0.1,84.0
fairness,0.4549999999999995,0.8949999999999999,0.840000000000002,0.1,83.0
efficiency,0.4499999999999995,0.8949999999999999,0.840000000000002,0.1,82.0
efficiency,0.4449999999999995,0.8949999999999999,0.840000000000002,0.1,81.0
fairness,0.4449999999999995,0.8999999999999999,0.840000000000002,0.1,80.0
exploration,0.4449999999999995,0.8999999999999999,0.825000000000002,0.1,99.0
fairness,0.4449999999999995,0.8949999999999999,0.825000000000002,0.1,98.0
efficiency,0.4299999999999995,0.8949999999999999,0.825000000000002,0.1,97.0
fairness,0.4299999999999995,0.8999999999999999,0.825000000000002,0.1,96.0
fairness,0.4299999999999995,0.8849999999999999,0.825000000000002,0.1,95.0
efficiency,0.4249999999999995,0.8849999999999999,0.825000000000002,0.1,94.0
fairness,0.4249999999999995,0.8799999999999999,0.825000000000002,0.1,93.0
fairness,0.4249999999999995,0.8849999999999999,0.825000000000002,0.1,92.0
fairness,0.4249999999999995,0.8799999999999999,0.825000000000002,0.1,91.0
exploration,0.4249999999999995,0.8799999999999999,0.820000000000002,0.1,90.0
fairness,0.4249999999999995,0.8649999999999999,0.820000000000002,0.1,89.0
efficiency,0.4199999999999995,0.8649999999999999,0.820000000000002,0.1,88.0
exploration,0.4199999999999995,0.8649999999999999,0.825000000000002,0.1,87.0
exploration,0.4199999999999995,0.8649999999999999,0.8100000000000019,0.1,86.0
exploration,0.4199999999999995,0.8649999999999999,0.815000000000002,0.1,85.0
efficiency,0.4149999999999995,0.8649999999999999,0.815000000000002,0.1,84.0
exploration,0.4149999999999995,0.8649999999999999,0.8000000000000019,0.1,83.0
exploration,0.4149999999999995,0.8649999999999999,0.8050000000000019,0.1,82.0
exploration,0.4149999999999995,0.8649999999999999,0.8000000000000019,0.1,81.0
exploration,0.4149999999999995,0.8649999999999999,0.7850000000000019,0.1,80.0
exploration,0.4149999999999995,0.8649999999999999,0.7700000000000019,0.1,99.0
exploration,0.4149999999999995,0.8649999999999999,0.7650000000000019,0.1,98.0
exploration,0.4149999999999995,0.8649999999999999,0.7600000000000019,0.1,97.0
exploration,0.4149999999999995,0.8649999999999999,0.7450000000000019,0.1,96.0
exploration,0.4149999999999995,0.8649999999999999,0.7400000000000019,0.1,95.0
fairness,0.4149999999999995,0.8699999999999999,0.7400000000000019,0.1,94.0
efficiency,0.38999999999999946,0.8699999999999999,0.7400000000000019,0.1,93.0
fairness,0.38999999999999946,0.8849999999999999,0.7400000000000019,0.1,92.0
efficiency,0.37499999999999944,0.8849999999999999,0.7400000000000019,0.1,91.0
fairness,0.37499999999999944,0.8899999999999999,0.7400000000000019,0.1,90.0
fairness,0.37499999999999944,0.8849999999999999,0.7400000000000019,0.1,89.0
exploration,0.37499999999999944,0.8849999999999999,0.7250000000000019,0.1,88.0
exploration,0.37499999999999944,0.8849999999999999,0.7300000000000019,0.1,87.0
fairness,0.37499999999999944,0.8799999999999999,0.7300000000000019,0.1,86.0
fairness,0.37499999999999944,0.8649999999999999,0.7300000000000019,0.1,85.0
fairness,0.37499999999999944,0.8599999999999999,0.7300000000000019,0.1,84.0
exploration,0.37499999999999944,0.8599999999999999,0.7250000000000019,0.1,83.0
fairness,0.37499999999999944,0.8549999999999999,0.7250000000000019,0.1,82.0
exploration,0.37499999999999944,0.8549999999999999,0.7200000000000019,0.1,81.0
fairness,0.37499999999999944,0.8499999999999999,0.7200000000000019,0.1,80.0
exploration,0.37499999999999944,0.8499999999999999,0.7050000000000018,0.1,99.0
efficiency,0.36999999999999944,0.8499999999999999,0.7050000000000018,0.1,98.0
exploration,0.36999999999999944,0.8499999999999999,0.7000000000000018,0.1,97.0
fairness,0.36999999999999944,0.8449999999999999,0.7000000000000018,0.1,96.0
exploration,0.36999999999999944,0.8449999999999999,0.6950000000000018,0.1,95.0
